data;produto;categoria;regiao;estado;quantidade;receita;custo
31/10/2024;Smartphone;Tecnologia;Sudeste;RJ;5;18837.72;13697.36
21/01/2024;Headset;Acessórios;Sudeste;RJ;3;4839.2;3073.68
16/06/2024;Teclado;Acessórios;Sul;PR;1;4793.23;3268.28
09/04/2024;Notebook;Tecnologia;Sul;RS;1;3522.65;2414.56
02/07/2024;Headset;Acessórios;Nordeste;BA;8;4798.65;3116.48
02/12/2024;Teclado;Acessórios;Centro-Oeste;DF;6;23852.6;15648.47
07/09/2024;Smartphone;Tecnologia;Sul;PR;1;2983.58;1993.87
09/06/2024;Mouse;Acessórios;Sudeste;SP;9;28393.21;18285.62
04/02/2023;Smartphone;Tecnologia;Sudeste;RJ;7;27286.82;18721.29
21/04/2023;Notebook;Tecnologia;Centro-Oeste;DF;2;8245.4;6356.75
09/04/2023;Notebook;Tecnologia;Sul;PR;2;4155.29;2813.03
21/06/2024;Notebook;Tecnologia;Nordeste;BA;3;13706.14;8285.04
05/10/2023;Notebook;Tecnologia;Sul;RS;6;15174.58;11732.1
03/06/2023;Mouse;Acessórios;Centro-Oeste;DF;7;19993.47;14181.22
04/02/2024;Monitor;Tecnologia;Nordeste;BA;4;10268.24;7728.16
14/12/2023;Smartphone;Tecnologia;Sudeste;RJ;1;1662.1;1059.99
29/01/2024;Notebook;Tecnologia;Centro-Oeste;DF;2;6587.25;3980.18
13/03/2024;Teclado;Acessórios;Sudeste;SP;3;8753.06;5584.76
16/12/2024;Mouse;Acessórios;Sudeste;SP;6;21837.02;12098.15
03/08/2023;Teclado;Acessórios;Sudeste;SP;4;8222.01;6323.03
13/04/2023;Mouse;Acessórios;Nordeste;BA;3;8455.69;6696.34
03/02/2023;Smartphone;Tecnologia;Sudeste;RJ;3;2051.73;1129.85
11/06/2024;Smartphone;Tecnologia;Sul;PR;6;5394.97;2892.73
02/09/2023;Monitor;Tecnologia;Centro-Oeste;DF;9;18917.66;14533.78
19/10/2023;Smartphone;Tecnologia;Sul;PR;1;2765.38;1955.45
18/01/2024;Teclado;Acessórios;Sudeste;RJ;9;8237.77;5307.95
17/08/2023;Notebook;Tecnologia;Sudeste;RJ;6;5207.49;3968.49
08/03/2024;Smartphone;Tecnologia;Sudeste;SP;1;1745.95;1295.25
21/06/2023;Notebook;Tecnologia;Sul;RS;1;3187.75;2537.06
19/01/2023;Notebook;Tecnologia;Sul;PR;8;21442.83;14698.55
08/08/2024;Headset;Acessórios;Centro-Oeste;DF;7;20234.87;14491.3
27/10/2023;Headset;Acessórios;Nordeste;BA;8;8792.21;6208.62
30/06/2023;Teclado;Acessórios;Sudeste;SP;7;19617.84;12940.59
14/07/2023;Headset;Acessórios;Sul;RS;2;5026.71;3316.55
22/04/2024;Headset;Acessórios;Sudeste;SP;9;34364.91;19061.71
07/06/2023;Mouse;Acessórios;Centro-Oeste;DF;7;13645.49;7688.34
13/06/2024;Headset;Acessórios;Centro-Oeste;DF;9;40566.35;27507.14
18/02/2023;Mouse;Acessórios;Centro-Oeste;DF;4;8391.88;5829.39
26/03/2024;Headset;Acessórios;Nordeste;BA;2;1782.28;1178.32
12/10/2024;Monitor;Tecnologia;Sudeste;SP;2;6019.68;4069.07
23/12/2023;Teclado;Acessórios;Sudeste;RJ;3;6613.43;3976.22
12/07/2023;Mouse;Acessórios;Sul;RS;4;13626.51;9146.57
26/09/2023;Smartphone;Tecnologia;Sul;RS;8;21936.92;13142.51
13/11/2023;Mouse;Acessórios;Sul;RS;9;14107.69;7484.62
02/08/2024;Monitor;Tecnologia;Sudeste;SP;6;12864.63;8314.97
09/07/2024;Teclado;Acessórios;Sul;RS;8;36283.56;19015.13
02/01/2024;Teclado;Acessórios;Sul;PR;3;1746.27;1238.26
20/08/2023;Mouse;Acessórios;Centro-Oeste;DF;8;8033.4;4975.54
19/08/2024;Notebook;Tecnologia;Sudeste;RJ;4;2095.4;1660.65
24/07/2023;Headset;Acessórios;Sul;PR;8;30024.26;22405.86
12/12/2024;Headset;Acessórios;Nordeste;BA;2;6010.87;4036.2
21/02/2024;Monitor;Tecnologia;Sul;RS;3;12820.86;7199.21
23/04/2024;Monitor;Tecnologia;Sudeste;RJ;6;22195.72;12426.32
30/06/2023;Headset;Acessórios;Nordeste;BA;4;6363.38;3400.91
05/10/2024;Mouse;Acessórios;Centro-Oeste;DF;6;18693.43;10212.39
16/01/2023;Notebook;Tecnologia;Sudeste;RJ;4;7771.56;5270.4
15/05/2023;Notebook;Tecnologia;Sul;RS;6;12088.32;6531.61
02/06/2024;Smartphone;Tecnologia;Centro-Oeste;DF;7;20791.04;11653.78
07/07/2023;Notebook;Tecnologia;Sul;PR;8;33155.48;19110.56
22/07/2023;Smartphone;Tecnologia;Sul;PR;5;2561.0;1370.16
18/04/2023;Teclado;Acessórios;Sul;RS;8;25819.67;19062.32
06/08/2023;Notebook;Tecnologia;Nordeste;BA;1;4328.27;3132.77
22/08/2024;Monitor;Tecnologia;Sul;RS;2;2118.68;1523.88
04/08/2024;Mouse;Acessórios;Sudeste;SP;9;12802.57;7857.82
31/10/2024;Headset;Acessórios;Nordeste;BA;1;3835.04;2578.46
11/08/2023;Mouse;Acessórios;Sudeste;SP;8;33805.87;24514.35
02/04/2024;Mouse;Acessórios;Sul;RS;3;3717.59;2767.27
31/07/2024;Teclado;Acessórios;Sul;RS;4;7691.54;5203.26
25/11/2024;Headset;Acessórios;Sudeste;SP;2;8349.39;5274.65
13/11/2024;Teclado;Acessórios;Sul;RS;3;9925.37;6569.94
12/11/2023;Notebook;Tecnologia;Sudeste;RJ;1;1544.96;1189.42
22/09/2023;Monitor;Tecnologia;Sudeste;SP;7;20253.51;10531.54
22/12/2023;Headset;Acessórios;Nordeste;BA;8;26472.57;14164.66
07/12/2024;Smartphone;Tecnologia;Sul;PR;6;11986.03;8619.93
04/12/2023;Monitor;Tecnologia;Sudeste;RJ;4;16292.45;11176.98
28/03/2024;Teclado;Acessórios;Nordeste;BA;4;15346.3;10311.87
15/11/2023;Mouse;Acessórios;Sudeste;SP;6;23314.88;16602.39
22/01/2024;Teclado;Acessórios;Centro-Oeste;DF;7;8008.53;4495.7
10/04/2024;Headset;Acessórios;Sul;RS;2;7862.13;5999.04
14/07/2024;Headset;Acessórios;Nordeste;BA;1;963.12;636.57
04/01/2024;Smartphone;Tecnologia;Sudeste;SP;4;10226.0;6965.82
27/01/2024;Smartphone;Tecnologia;Sul;RS;8;9397.03;5344.8
16/08/2024;Mouse;Acessórios;Sudeste;SP;2;1109.83;754.16
22/03/2024;Headset;Acessórios;Nordeste;BA;4;11769.04;6773.55
08/06/2024;Mouse;Acessórios;Nordeste;BA;5;21102.97;16623.29
12/12/2024;Notebook;Tecnologia;Nordeste;BA;8;25002.1;15507.69
31/12/2023;Headset;Acessórios;Sul;PR;8;22211.99;15180.48
11/02/2023;Teclado;Acessórios;Sul;RS;8;35396.46;27596.34
07/09/2023;Smartphone;Tecnologia;Sudeste;SP;4;18537.51;13662.62
27/09/2023;Monitor;Tecnologia;Nordeste;BA;5;18412.87;10049.04
20/03/2023;Notebook;Tecnologia;Sul;PR;9;21677.29;15627.88
01/05/2023;Monitor;Tecnologia;Nordeste;BA;8;34255.83;26486.81
06/01/2024;Mouse;Acessórios;Sudeste;SP;1;1009.57;803.07
07/02/2024;Teclado;Acessórios;Sudeste;SP;4;4243.93;3294.36
12/12/2024;Notebook;Tecnologia;Centro-Oeste;DF;6;17008.63;11521.35
29/03/2024;Notebook;Tecnologia;Nordeste;BA;5;11034.38;7980.89
06/02/2024;Notebook;Tecnologia;Nordeste;BA;4;16180.22;11020.61
20/03/2024;Notebook;Tecnologia;Sul;RS;3;6875.28;4546.06
16/12/2023;Headset;Acessórios;Sul;RS;6;12351.34;7461.27
21/11/2024;Monitor;Tecnologia;Nordeste;BA;2;9266.09;6264.99
21/07/2024;Monitor;Tecnologia;Nordeste;BA;3;4851.06;3266.17
15/01/2023;Teclado;Acessórios;Sul;RS;4;9540.66;7388.8
04/01/2024;Mouse;Acessórios;Sul;RS;1;4012.23;2340.24
25/04/2023;Smartphone;Tecnologia;Sul;RS;2;6971.84;3858.29
12/01/2023;Headset;Acessórios;Sul;RS;4;10261.8;6846.59
26/12/2023;Notebook;Tecnologia;Sudeste;RJ;6;5304.44;4238.58
04/11/2023;Teclado;Acessórios;Nordeste;BA;1;1848.18;1095.94
18/01/2024;Teclado;Acessórios;Nordeste;BA;7;16943.85;12537.34
08/09/2024;Mouse;Acessórios;Sul;PR;1;664.47;426.34
16/08/2024;Headset;Acessórios;Nordeste;BA;8;25148.33;14792.58
16/09/2023;Headset;Acessórios;Centro-Oeste;DF;3;7619.4;5008.36
21/04/2024;Teclado;Acessórios;Sul;PR;1;2303.43;1538.45
29/10/2023;Teclado;Acessórios;Nordeste;BA;4;5274.71;4001.05
18/11/2023;Teclado;Acessórios;Sudeste;RJ;7;27227.26;15837.84
18/03/2023;Teclado;Acessórios;Sudeste;SP;3;10193.99;6346.99
20/12/2023;Teclado;Acessórios;Sul;RS;7;34336.34;25818.75
02/01/2023;Monitor;Tecnologia;Sul;RS;7;24256.1;12325.23
25/10/2024;Teclado;Acessórios;Sul;PR;7;11497.49;6425.19
16/12/2023;Teclado;Acessórios;Sudeste;RJ;8;7747.91;5733.26
13/03/2024;Smartphone;Tecnologia;Sul;PR;3;13480.72;8991.86
29/05/2024;Headset;Acessórios;Sul;RS;8;7579.89;4342.91
04/04/2023;Teclado;Acessórios;Nordeste;BA;8;33046.61;26066.99
28/10/2024;Teclado;Acessórios;Sul;PR;4;14025.53;7875.27
09/04/2023;Mouse;Acessórios;Nordeste;BA;7;31734.58;15991.07
15/09/2023;Teclado;Acessórios;Sudeste;RJ;7;26681.0;20129.17
16/04/2024;Smartphone;Tecnologia;Sul;RS;3;9371.06;5870.29
18/11/2023;Notebook;Tecnologia;Sul;RS;2;9195.62;6321.33
03/07/2023;Smartphone;Tecnologia;Sul;PR;2;4267.53;2177.59
22/05/2023;Smartphone;Tecnologia;Centro-Oeste;DF;4;13234.68;8242.87
24/10/2023;Monitor;Tecnologia;Centro-Oeste;DF;9;22163.12;13039.45
27/03/2023;Mouse;Acessórios;Centro-Oeste;DF;4;19541.85;14342.3
20/11/2024;Notebook;Tecnologia;Sudeste;RJ;1;4408.11;2848.65
22/08/2024;Headset;Acessórios;Sudeste;SP;7;28695.44;18008.23
12/06/2023;Smartphone;Tecnologia;Sudeste;SP;3;8418.18;6082.19
26/10/2024;Monitor;Tecnologia;Sudeste;RJ;2;6701.3;3869.11
27/05/2023;Monitor;Tecnologia;Sudeste;SP;6;20416.46;12791.14
21/11/2023;Teclado;Acessórios;Sul;PR;2;3450.77;1744.42
01/04/2024;Headset;Acessórios;Nordeste;BA;2;5766.96;4293.59
01/10/2024;Headset;Acessórios;Sudeste;SP;9;15599.24;10393.04
03/03/2023;Notebook;Tecnologia;Sul;PR;9;24647.33;17648.98
29/06/2023;Monitor;Tecnologia;Centro-Oeste;DF;5;2747.41;1486.53
01/07/2023;Notebook;Tecnologia;Nordeste;BA;9;15293.18;11005.82
09/12/2023;Monitor;Tecnologia;Sudeste;SP;2;6404.65;4480.12
03/03/2024;Headset;Acessórios;Nordeste;BA;7;21558.77;16199.95
23/02/2023;Teclado;Acessórios;Sudeste;RJ;5;11120.62;7291.51
06/07/2024;Teclado;Acessórios;Nordeste;BA;2;2496.55;1801.04
02/04/2024;Mouse;Acessórios;Sul;PR;3;2719.55;1988.79
08/09/2023;Smartphone;Tecnologia;Sul;RS;5;21334.28;13465.3
19/02/2023;Headset;Acessórios;Sul;RS;4;14942.83;8803.36
16/02/2024;Monitor;Tecnologia;Centro-Oeste;DF;3;14315.64;8861.31
23/08/2023;Mouse;Acessórios;Sul;PR;8;37725.87;27154.01
24/03/2023;Headset;Acessórios;Nordeste;BA;1;1714.6;1134.98
24/10/2024;Teclado;Acessórios;Sudeste;RJ;3;9533.55;4913.86
05/06/2023;Mouse;Acessórios;Sul;RS;2;6609.99;4245.41
26/05/2024;Smartphone;Tecnologia;Sudeste;SP;9;7543.08;5419.38
21/10/2023;Smartphone;Tecnologia;Centro-Oeste;DF;9;33049.48;22456.66
08/02/2023;Headset;Acessórios;Sudeste;SP;9;14479.28;10797.65
17/08/2023;Notebook;Tecnologia;Sudeste;SP;5;2552.64;2017.37
14/12/2024;Teclado;Acessórios;Sul;RS;6;18936.23;11518.76
07/10/2023;Smartphone;Tecnologia;Centro-Oeste;DF;1;1115.68;875.89
03/04/2023;Monitor;Tecnologia;Sul;PR;7;19920.97;10478.66
11/08/2024;Monitor;Tecnologia;Nordeste;BA;8;31302.13;21651.21
06/03/2023;Mouse;Acessórios;Centro-Oeste;DF;1;3464.53;2451.79
01/04/2024;Notebook;Tecnologia;Sudeste;RJ;6;29475.57;22725.94
22/05/2024;Notebook;Tecnologia;Centro-Oeste;DF;9;42734.4;21872.67
04/05/2023;Notebook;Tecnologia;Sul;PR;7;34979.64;23322.39
30/11/2024;Notebook;Tecnologia;Sudeste;RJ;6;27718.18;14141.37
17/08/2023;Notebook;Tecnologia;Nordeste;BA;5;18948.03;10568.83
20/06/2024;Notebook;Tecnologia;Nordeste;BA;8;38958.1;30515.1
